SF,C,SG,PG,PF,F,G,UTIL,Type,Salary,Sig
1626220,1628976,1629673,1628983,1628970,202331,1631128,1642354,GEN_LEVERAGE,50000,1626220|1628970|1628976|1628983|1629673|1631128|1642354|202331
1626162,203954,1628379,1629630,1630573,202695,1629652,1642268,GEN_LEVERAGE,49600,1626162|1628379|1629630|1629652|1630573|1642268|202695|203954
1629008,1626157,1629656,1627739,203501,1642377,1629673,1629651,GEN_LEVERAGE,50000,1626157|1627739|1629008|1629651|1629656|1629673|1642377|203501
1629008,1629651,1629130,1628379,1630552,201587,1628973,1629611,GEN_LEVERAGE,49700,1628379|1628973|1629008|1629130|1629611|1629651|1630552|201587
1626220,203954,1629004,1642856,1630533,1631094,1642851,1642461,GEN_LEVERAGE,48400,1626220|1629004|1630533|1631094|1642461|1642851|1642856|203954
1630598,203954,1628971,1627750,201587,1642377,1641718,1642266,GEN_LEVERAGE,48500,1627750|1628971|1630598|1641718|1642266|1642377|201587|203954
1630573,1628976,1628971,1627750,1628970,203501,1629004,203954,GEN_LEVERAGE,49500,1627750|1628970|1628971|1628976|1629004|1630573|203501|203954
1628960,1630168,1629130,1628971,1641730,1629008,1630178,1642383,GEN_LEVERAGE,49800,1628960|1628971|1629008|1629130|1630168|1630178|1641730|1642383
1630573,1626157,1630217,1630163,1630598,201587,1641718,1642268,GEN_LEVERAGE,49900,1626157|1630163|1630217|1630573|1630598|1641718|1642268|201587
1626220,1630168,1629004,1628379,1628970,1631094,1629611,203954,GEN_LEVERAGE,49700,1626220|1628379|1628970|1629004|1629611|1630168|1631094|203954
1626220,1629651,1629130,1642285,1631094,1641730,1629611,203954,GEN_LEVERAGE,50000,1626220|1629130|1629611|1629651|1631094|1641730|1642285|203954
1626162,1629674,1627739,1642354,1630552,1631114,1642856,203932,GEN_LEVERAGE,49800,1626162|1627739|1629674|1630552|1631114|1642354|1642856|203932
1641731,1628976,1629004,1626164,1630552,1631096,1642849,1642377,GEN_LEVERAGE,50000,1626164|1628976|1629004|1630552|1631096|1641731|1642377|1642849
1628960,1628976,1628401,1627739,1626220,1629008,1630200,1641731,GEN_LEVERAGE,50000,1626220|1627739|1628401|1628960|1628976|1629008|1630200|1641731
1626220,1626157,1630217,1628379,1630573,1631094,1641710,1642383,GEN_LEVERAGE,50000,1626157|1626220|1628379|1630217|1630573|1631094|1641710|1642383
1626220,1629674,1629130,1628983,1630552,1642377,1631128,201587,GEN_LEVERAGE,49600,1626220|1628983|1629130|1629674|1630552|1631128|1642377|201587
1630573,1628976,1631128,1628983,1628970,1641731,1641718,201587,GEN_LEVERAGE,50000,1628970|1628976|1628983|1630573|1631128|1641718|1641731|201587
1626220,1642852,1629652,1629656,1630567,1629008,1630163,1642849,GEN_LEVERAGE,49700,1626220|1629008|1629652|1629656|1630163|1630567|1642849|1642852
1626220,1628976,1629130,1641710,1631096,1641706,1642285,1629651,GEN_LEVERAGE,49900,1626220|1628976|1629130|1629651|1631096|1641706|1641710|1642285
1626220,1626157,1629652,1641710,1628970,1641706,1631128,1642849,GEN_LEVERAGE,48100,1626157|1626220|1628970|1629652|1631128|1641706|1641710|1642849
1626220,1628976,1629652,1630163,1628970,1631114,1630200,1641730,GEN_LEVERAGE,49700,1626220|1628970|1628976|1629652|1630163|1630200|1631114|1641730
1642846,1627826,1630700,1630163,1628970,201587,1642268,1628976,GEN_LEVERAGE,49800,1627826|1628970|1628976|1630163|1630700|1642268|1642846|201587
1630598,1629674,1628971,1641718,1630567,1631114,1642285,201587,GEN_LEVERAGE,48200,1628971|1629674|1630567|1630598|1631114|1641718|1642285|201587
1631114,1629651,1627739,1626164,1626220,1642962,1628983,1629611,GEN_LEVERAGE,49900,1626164|1626220|1627739|1628983|1629611|1629651|1631114|1642962
1626220,1628976,1627739,1628379,1630552,203501,1629673,1641718,GEN_LEVERAGE,49700,1626220|1627739|1628379|1628976|1629673|1630552|1641718|203501
1629008,1629674,1629652,1628379,1628970,1630552,1642285,1630598,GEN_LEVERAGE,49800,1628379|1628970|1629008|1629652|1629674|1630552|1630598|1642285
1629638,1628976,1627739,1628983,1631094,1642346,1642849,1629674,GEN_LEVERAGE,50000,1627739|1628976|1628983|1629638|1629674|1631094|1642346|1642849
1641731,202696,1631128,1630202,1641730,1642846,1641710,1642285,GEN_LEVERAGE,49800,1630202|1631128|1641710|1641730|1641731|1642285|1642846|202696
1626220,1642259,1628379,1626164,1630552,1630573,1630200,203501,GEN_LEVERAGE,49700,1626164|1626220|1628379|1630200|1630552|1630573|1642259|203501
1629008,203954,1629611,1629630,1641730,1642846,1642266,1642285,GEN_LEVERAGE,50000,1629008|1629611|1629630|1641730|1642266|1642285|1642846|203954
1626220,1629674,1629611,1628973,1631094,203501,1630700,1642856,GEN_LEVERAGE,49900,1626220|1628973|1629611|1629674|1630700|1631094|1642856|203501
